rule Mouse Gesture staggering requires exactly one direction, got 0: Mouse Down. Disabling staggering.
rule Mouse Gesture argument not direction or name of a Logitech key: M
rule Mouse Gesture argument not direction or name of a Logitech key: o
rule Mouse Gesture argument not direction or name of a Logitech key: u
rule Mouse Gesture argument not direction or name of a Logitech key: s
rule Mouse Gesture argument not direction or name of a Logitech key: e
rule Mouse Gesture argument not direction or name of a Logitech key:  
rule Mouse Gesture argument not direction or name of a Logitech key: D
rule Mouse Gesture argument not direction or name of a Logitech key: o
rule Mouse Gesture argument not direction or name of a Logitech key: w
rule Mouse Gesture argument not direction or name of a Logitech key: n
2025-10-16 22:22:32,387,387     INFO [MainThread] solaar.gtk: version 70a1da48, language en_US (UTF-8)
2025-10-16 22:22:32,388,388  WARNING [MainThread] solaar.gtk: Solaar udev file not found in expected location
2025-10-16 22:22:32,388,388  WARNING [MainThread] solaar.gtk: See https://pwr-solaar.github.io/Solaar/installation for more information
2025-10-16 22:22:32,390,390    DEBUG [MainThread] hidapi.udev_impl: Starting dbus monitoring
2025-10-16 22:22:32,390,390     INFO [MainThread] solaar.dbus: connected to system dbus, watching for suspend/resume events
2025-10-16 22:22:32,421,421    DEBUG [MainThread] solaar.ui: startup registered=True, remote=False
2025-10-16 22:22:32,421,421    DEBUG [AsyncUI] solaar.tasks: started
2025-10-16 22:22:32,422,422     INFO [MainThread] solaar.ui.desktop_notifications: starting desktop notifications
2025-10-16 22:22:32,424,424    DEBUG [MainThread] solaar.ui.icons: icon theme paths: ['/home/redyau/.local/share/icons', '/home/redyau/.icons', '/usr/share/plasma/icons', '/usr/local/share/icons', '/usr/share/icons', '/var/lib/snapd/desktop/icons', '/usr/share/plasma/pixmaps', '/usr/local/share/pixmaps', '/usr/share/pixmaps', '/var/lib/snapd/desktop/pixmaps']
2025-10-16 22:22:32,576,576     INFO [MainThread] solaar.listener: starting receiver listening threads
2025-10-16 22:22:32,576,576    DEBUG [MainThread] hidapi.udev_impl: Starting dbus enumeration
2025-10-16 22:22:32,581,581    DEBUG [MainThread] hidapi.udev_impl: Dbus event add Device('/sys/devices/pci0000:00/0000:00:14.0/usb1/1-3/1-3:1.0/0003:195D:2062.000A/hidraw/hidraw1')
2025-10-16 22:22:32,824,824    DEBUG [MainThread] hidapi.udev_impl: Dbus event add Device('/sys/devices/pci0000:00/0000:00:14.0/usb1/1-3/1-3:1.1/0003:195D:2062.000B/hidraw/hidraw2')
2025-10-16 22:22:32,824,824     INFO [MainThread] hidapi.udev_impl: Report Descriptor not processed for DEVICE /dev/hidraw2 BID 0003 VID 0000195D PID 00002062: Expecting 160 usages but got 142
2025-10-16 22:22:32,825,825    DEBUG [MainThread] hidapi.udev_impl: Dbus event add Device('/sys/devices/pci0000:00/0000:00:14.0/usb1/1-8/1-8:1.0/0003:1532:0246.0004/hidraw/hidraw3')
2025-10-16 22:22:32,826,826    DEBUG [MainThread] hidapi.udev_impl: Dbus event add Device('/sys/devices/pci0000:00/0000:00:14.0/usb1/1-8/1-8:1.1/0003:1532:0246.0005/hidraw/hidraw4')
